Id_220,Id_107,Name_220,ParameterId_220,Code_220,Name_107,ParameterId_107,Code_107,conflict_type
3089,3092,Failed,1511,,Failed,1511,,BUSINESS_DUPLICATE_DIFFERENT_ID
3092,3089,Failed,1511,,Failed,1511,,BUSINESS_DUPLICATE_DIFFERENT_ID
