Id_220,Id_107,AgeTo_220,ParameterId_220,GenderId_220,UpperValue_220,LowerValue_220,AgeFrom_220,AgeTo_107,ParameterId_107,GenderId_107,UpperValue_107,LowerValue_107,AgeFrom_107,conflict_type
5489,5495,999,1007,1,<22,,0,999,1007,1,<22,,0,BUSINESS_DUPLICATE_DIFFERENT_ID
5495,5489,999,1007,1,<22,,0,999,1007,1,<22,,0,BUSINESS_DUPLICATE_DIFFERENT_ID
